Station,Lat.(N),Long. (E),Period of Daily Rain Records,"Period of 30,60,120-Min Rain Records",Period of Mean Temperature,Period of Max and Min Temperature,Period of Mean Wind Speed,Period of Max Wind Speed
Paya Lebar,1.3524,103.9007,Jan 1980-current,,,Jan 1981-current,Jan 1981-current,Jan 2010-current
Macritchie Reservoir,1.3417,103.8338,Jan 1980-current,Jan 2014-current,,,,
Lower Peirce Reservoir,1.3701,103.8271,Jan 2010-current,Jan 2014-current,,,,
Tengah,1.3858,103.7114,Jan 1980-current,,Aug 1986-current,Jan 1985-current,Jan 1985-current,Jan 2010-current
Changi,1.3678,103.9826,Jan 1981-current,Jan 2014-current,Jan 1982-current,Jan 1982-current,Jan 1983-current,Jan 1983-current
Seletar,1.4166,103.8654,Jan 1980-current,,Aug 1986-current,Jan 1985-current,Jan 1985-current,Jan 2010-current
Pasir Ris (West),1.3863,103.9412,Jan 1980-current,Jan 2014-current,,,,
Kampong Bahru,1.2745,103.828,Jan 1980-current,Jan 2014-Oct 2016,,,,
Jurong Pier,1.3081,103.71,Jan 1980-current,Jan 2014-current,,,,
Ulu Pandan,1.3329,103.7556,Jan 1980-current,Jan 2014-current,,,,
Serangoon,1.3382,103.8657,Jan 1980-current,Jan 2014-current,,,,
Jurong (East),1.3262,103.7354,Jan 1980-current,Jan 2014-Aug 2014,,,,
Mandai,1.4036,103.7898,Jan 1980-current,Jan 2014-current,,,,
Tai Seng,1.3399,103.8878,Jan 1980-current,Jan 2014-current,May 2011-current,May 2011-current,May 2011-current,May 2011-current
Jurong (West),1.3455,103.6806,Jan 1980-current,Jan 2014-current,Mar 2009-current,Mar 2009-current,Mar 2009-current,Mar 2009-current
Upper Thomson,1.3416,103.8106,Jan 1980-current,Jan 2014-current,,,,
Ang Mo Kio,1.3764,103.8492,Sep 2009-current,Jan 2014-current,Sep 2009-current,Sep 2009-current,Sep 2009-current,Sep 2009-current
Clementi,1.3337,103.7768,Jan 1980-current,Jan 2014-current,Apr 2010-current,Apr 2010-current,Apr 2010-current,Apr 2010-current
Admiralty,1.4439,103.7854,Jan 2009-current,Jan 2014-current,Jan 2009-current,Jan 2009-current,Jan 2009-current,Jan 2009-current
Buangkok,1.3837,103.886,Jan 1980-current,Jan 2014-current,,,,
Sentosa Island,1.25,103.8279,Jan1980-current,Jan 2014-current,Mar 2010-current,Mar 2010-current,Mar 2010-current,Mar 2010-current
Boon Lay (West),1.3275,103.7042,Jan 1980-current,Jan 2014-current,,,,
Bukit Panjang,1.3824,103.7603,Jan 1980-current,Jan 2014-current,,,,
Kranji Reservoir,1.4387,103.7363,Jan 1980-current,Jan 2014-current,,,,
Tanjong Pagar,1.274,103.8482,Jan 1983-current,Jan 2014-Oct 2015,,,,
Admiralty (West),1.4582,103.7953,Jan 2009-current,Jan 2014-current,,,,
