name,add,lon,lat
DA CLINIC @ BISHAN,BLK 501 BISHAN STREET 11 #01-374 Singapore 570501,103.849097,1.348388
SINGHEALTH POLYCLINICS - TAMPINES,1 TAMPINES STREET 41 TAMPINES POLYCLINIC Singapore 529203,103.946039,1.357257
1 MEDICAL TECK GHEE,BLK 410 ANG MO KIO AVENUE 10 TECK GHEE SQUARE #01-837 Singapore 560410,103.8544919,1.36282
115 EASTPOINT CLINIC & SURGERY,BLK 115 BEDOK NORTH RD #01-301 Singapore 460115,103.93646,1.331422
18 CLINIC,BLK 101 TOWNER ROAD #01-228 Singapore 322101,103.861129,1.319673
"1AESTHETICS, MEDICAL & SURGERY",8 EU TONG SEN STREET THE CENTRAL #14-90 Singapore 059818,103.846784,1.288529
326 AVENUE 3 CLINIC,BLK 326 SERANGOON AVE 3 #01-382 Singapore 550326,103.86899,1.3503829
338 FAMILY CLINIC,BLK 338 ANG MO KIO AVE 1 #01-1615 Singapore 560338,103.8487619,1.363639
57 MEDICAL CLINIC (GEYLANG BAHRU),BLK 57 GEYLANG BAHRU #01-3505 Singapore 330057,103.869896,1.322958
8 MEDICAL AESTHETIC CLINIC,51 CUPPAGE ROAD #01-03 Singapore 229469,103.840585,1.302839
8 MEDICAL AESTHETIC CLINIC,1 TAMPINES CENTRAL 5 CPF TAMPINES BUILDING #03-02 Singapore 529508,103.943696,1.352954
81 FAMILY CLINIC,BLK 86 MARINE PARADE CENTRAL #01-670 Singapore 440086,103.906681,1.301492
818 FAMILY CLINIC AND SURGERY,818 WOODLANDS ST 82 #01-421 Singapore 730818,103.790054,1.441691
888 PLAZA FAMILY CLINIC,888 WOODLANDS DRIVE 50 888 PLAZA #01-739 Singapore 730888,103.79527,1.437703
A & A CLINIC,BLK 570B WOODLANDS AVENUE 1 #01-07 Singapore 732570,103.790837,1.430924
A LIFE CLINIC PTE LTD,10 SINARAN DRIVE NOVENA MEDICAL CENTER #09-21 Singapore 307506,103.844476,1.321061
A MEDICAL CLINIC,BLK 1 EVERTON PARK EVERTON PARK #01-27 Singapore 081001,103.8400039,1.277421
A&M MEDICAL CENTRE,190 CLEMENCEAU AVENUE SINGAPORE SHOPPING CENTRE #04-17 Singapore 239924,103.8441579,1.298146
A+FFORDABLE CLINIC (AMK AVE 10),BLK 449 ANG MO KIO AVENUE 10 #01-1715 Singapore 560449,103.855993,1.367823
A+FFORDABLE CLINIC (HOUGANG),BLK 681 HOUGANG AVENUE 8 #01-829 Singapore 530681,103.886822,1.373235
A.M AESTHETICS,BLK 500 LORONG 6 TOA PAYOH #B1-30 Singapore 310500,103.847064,1.333005
A.M AESTHETICS,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL #04-50 Singapore 129588,103.7643563,1.3150108
A.M. AESTHETICS,311 NEW UPPER CHANGI ROAD BEDOK MALL #B1-18 Singapore 467360,103.9296683,1.3245781
A.M.AESTHETICS,"21 CHOA CHU KANG AVENUE 4 LOT ONE, SHOPPERS' MALL #02-26 Singapore 689812",103.745046,1.384848
A1 MEDICAL CLINIC,BLK 418 BEDOK NORTH AVENUE 2 LINEAR GREEN @ BEDOK #01-63 Singapore 460418,103.92989,1.328627
ABLE MEDICAL,BLK 201D TAMPINES STREET 21 #01-1129 Singapore 524201,103.953629,1.352255
ACACIA MEDICAL CLINIC,"180 DEPOT ROAD INTERLACE, THE #01-07 Singapore 109684",103.803049,1.28199
ACCESS MEDICAL (CIRCUIT ROAD),BLK 88 CIRCUIT ROAD #01-965 Singapore 370088,103.88585,1.323564
ACCESS MEDICAL (EAST COAST),18 BEDOK SOUTH ROAD #01-69 Singapore 460018,103.934572,1.320332
ACCESS MEDICAL (REDHILL CLOSE),86 REDHILL CLOSE #01-600 Singapore 150086,103.8187,1.286943
ACCESS MEDICAL (TOA PAYOH),BLK 66 LORONG 4 TOA PAYOH #01-315/317 Singapore 310066,103.85174,1.335012
ACCESS MEDICAL (WHAMPOA),87 WHAMPOA DRIVE #01-869 Singapore 320087,103.855666,1.323282
ACCORD MEDICAL CLINIC,BLK 325 UBI AVENUE 1 #01-701 Singapore 400325,103.903984,1.3276889
ACMS MEDICAL CLINIC,1 GRANGE ROAD ORCHARD BUILDING #06-06 Singapore 239693,103.837238,1.30142
ACUMED MEDICAL GROUP,16 COLLYER QUAY INCOME AT RAFFLES #02-03 Singapore 049318,103.852536,1.284184
ACUMED MEDICAL GROUP,1 JURONG WEST CENTRAL 2 JURONG POINT SHOPPING CENTRE #B1A-19E Singapore 648886,103.706464,1.339874
ACUMED MEDICAL GROUP,BLK 38 TEBAN GARDENS ROAD #01-318/319 Singapore 600038,103.742848,1.321156
ACUMED MEDICAL GROUP,BLK 111 WOODLANDS STREET 13 #01-78 Singapore 730111,103.78198,1.437911
ACUMED MEDICAL GROUP,BLK 64 YUNG KUANG ROAD #01-107/111 Singapore 610064,103.722449,1.332381
ACUMED MEDICAL GROUP,71 PIONEER ROAD TUAS AMENITY CENTRE #01-06 Singapore 639591,103.651887,1.316869
ACUMED MEDICAL GROUP,301 BOON LAY WAY BOON LAY MRT STATION #01-18/19 Singapore 649846,103.706071,1.338717
