"Year","Epidemiology Wk","Start","End","Cholera","Paratyphoid","Typhoid","Acute Viral Hepatitis A","Acute Viral Hepatitis E","Poliomyelitis","Plague","Yellow Fever","Dengue","DHF","Malaria","Chikungunya","HFMD","Diphtheria","Measles","Mumps","Rubella","SARS","Nipah","Acute Viral hepatitis B","Encephalitis","Legionellosis","Campylobacter enteritis","Acute Viral hepatitis C","Leptospirosis","Melioidosis","Meningococcal Infection","Pertussis","Pneumococcal Disease (invasive)","Haemophilus influenzae type b","Salmonellosis(non-enteric fevers)","Avian Influenza","Zika","Ebola Virus Disease","Japanese Encephalitis","Tetanus","Botulism","Murine Typhus","Acute Upper Respiratory Tract infections","Acute Conjunctivitis","Acute Diarrhoea","Chickenpox"
2012,1,2012-01-01,2012-01-07,0,1,6,1,3,0,0,0,74,0,1,0,326,0,2,11,1,0,0,0,0,0,6,0,NA,0,0,2,3,0,26,0,NA,NA,NA,NA,NA,NA,2932.22222222222,119.777777777778,490.888888888889,18
2012,2,2012-01-08,2012-01-14,0,1,3,2,0,0,0,0,64,2,2,1,346,0,1,10,2,0,0,0,0,0,7,0,NA,1,0,0,3,0,24,0,NA,NA,NA,NA,NA,NA,3188.72727272727,113.818181818182,575.090909090909,19.0909090909091
2012,3,2012-01-15,2012-01-21,0,1,5,3,0,0,0,0,60,1,2,1,463,0,2,15,4,0,0,0,3,0,9,0,NA,1,0,5,3,0,21,0,NA,NA,NA,NA,NA,NA,3184.54545454545,106,538.909090909091,16.3636363636364
2012,4,2012-01-22,2012-01-28,0,1,1,3,2,0,0,0,50,2,3,0,372,0,0,8,2,0,0,1,1,1,8,0,NA,1,0,0,2,0,12,0,NA,NA,NA,NA,NA,NA,4000.57142857143,118,614.571428571429,24.2857142857143
2012,5,2012-01-29,2012-02-04,0,3,5,2,0,0,0,0,84,1,1,0,444,0,2,12,0,0,0,1,0,0,8,0,NA,0,0,1,5,0,37,0,NA,NA,NA,NA,NA,NA,3355.81818181818,109.636363636364,558.545454545455,17.6363636363636
2012,6,2012-02-05,2012-02-11,0,2,0,0,4,0,0,0,87,0,2,0,683,0,4,12,2,0,0,1,2,1,5,0,NA,1,0,0,4,0,40,0,NA,NA,NA,NA,NA,NA,3357.63636363636,111.090909090909,556.909090909091,20
2012,7,2012-02-12,2012-02-18,0,1,2,0,2,0,0,0,65,0,1,0,810,0,1,12,4,0,0,0,0,0,8,0,NA,0,0,0,3,0,29,0,NA,NA,NA,NA,NA,NA,3033.09090909091,105.090909090909,529.272727272727,18.5454545454545
2012,8,2012-02-19,2012-02-25,0,4,3,0,3,0,0,0,50,1,0,1,989,0,2,18,0,0,0,0,0,0,8,0,NA,1,0,0,3,0,12,0,NA,NA,NA,NA,NA,NA,2953.45454545455,102,512.727272727273,20.7272727272727
2012,9,2012-02-26,2012-03-03,0,4,1,2,0,0,0,0,55,0,0,1,1115,0,1,10,2,0,0,2,0,1,6,0,NA,1,0,3,2,0,27,0,NA,NA,NA,NA,NA,NA,2854.72727272727,104.545454545455,504.545454545455,16.9090909090909
2012,10,2012-03-04,2012-03-10,0,2,1,2,3,0,0,0,45,1,4,2,1139,0,0,16,0,0,0,3,1,1,12,1,NA,0,0,0,9,0,28,0,NA,NA,NA,NA,NA,NA,2868.36363636364,95.4545454545455,488.363636363636,19.4545454545455
2012,11,2012-03-11,2012-03-17,0,2,1,1,2,0,0,0,64,0,2,0,1011,0,1,8,1,0,0,0,1,1,10,0,NA,1,0,0,2,0,36,0,NA,NA,NA,NA,NA,NA,2615.45454545455,102.727272727273,431.636363636364,15.2727272727273
2012,12,2012-03-18,2012-03-24,0,1,1,0,2,0,0,0,72,1,2,0,1018,0,1,11,0,0,0,1,2,1,5,0,NA,0,0,3,3,0,26,0,NA,NA,NA,NA,NA,NA,2803.45454545455,111.636363636364,507.454545454545,21.2727272727273
2012,13,2012-03-25,2012-03-31,0,0,2,1,2,0,0,0,48,0,4,0,1017,0,0,15,2,0,0,2,0,2,14,0,NA,0,0,1,0,0,27,0,NA,NA,NA,NA,NA,NA,2710.90909090909,106,476.727272727273,17.0909090909091
