Epiyear,Epiweek,Start,End,Cholera,Paratyphoid,Typhoid,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Mumps,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
2012,1,2012-01-01T00:00:00Z,2012-01-07T00:00:00Z,0,1,6,1,3,0,0,0,74,0,1,0,326,0,2,11,1,0,0,0,0,0,6,0,NA,0,0,2,3,0,26,0,NA,NA,NA,NA,NA,NA,2932.222222222222,119.77777777777777,490.8888888888889,18
2012,2,2012-01-08T00:00:00Z,2012-01-14T00:00:00Z,0,1,3,2,0,0,0,0,64,2,2,1,346,0,1,10,2,0,0,0,0,0,7,0,NA,1,0,0,3,0,24,0,NA,NA,NA,NA,NA,NA,3188.7272727272725,113.81818181818181,575.0909090909091,19.09090909090909
2012,3,2012-01-15T00:00:00Z,2012-01-21T00:00:00Z,0,1,5,3,0,0,0,0,60,1,2,1,463,0,2,15,4,0,0,0,3,0,9,0,NA,1,0,5,3,0,21,0,NA,NA,NA,NA,NA,NA,3184.5454545454545,106,538.9090909090909,16.363636363636363
2012,4,2012-01-22T00:00:00Z,2012-01-28T00:00:00Z,0,1,1,3,2,0,0,0,50,2,3,0,372,0,0,8,2,0,0,1,1,1,8,0,NA,1,0,0,2,0,12,0,NA,NA,NA,NA,NA,NA,4000.5714285714284,118,614.5714285714286,24.285714285714285
2012,5,2012-01-29T00:00:00Z,2012-02-04T00:00:00Z,0,3,5,2,0,0,0,0,84,1,1,0,444,0,2,12,0,0,0,1,0,0,8,0,NA,0,0,1,5,0,37,0,NA,NA,NA,NA,NA,NA,3355.818181818182,109.63636363636364,558.5454545454545,17.636363636363637
2012,6,2012-02-05T00:00:00Z,2012-02-11T00:00:00Z,0,2,0,0,4,0,0,0,87,0,2,0,683,0,4,12,2,0,0,1,2,1,5,0,NA,1,0,0,4,0,40,0,NA,NA,NA,NA,NA,NA,3357.6363636363635,111.0909090909091,556.9090909090909,20
2012,7,2012-02-12T00:00:00Z,2012-02-18T00:00:00Z,0,1,2,0,2,0,0,0,65,0,1,0,810,0,1,12,4,0,0,0,0,0,8,0,NA,0,0,0,3,0,29,0,NA,NA,NA,NA,NA,NA,3033.090909090909,105.0909090909091,529.2727272727273,18.545454545454547
2012,8,2012-02-19T00:00:00Z,2012-02-25T00:00:00Z,0,4,3,0,3,0,0,0,50,1,0,1,989,0,2,18,0,0,0,0,0,0,8,0,NA,1,0,0,3,0,12,0,NA,NA,NA,NA,NA,NA,2953.4545454545455,102,512.7272727272727,20.727272727272727
2012,9,2012-02-26T00:00:00Z,2012-03-03T00:00:00Z,0,4,1,2,0,0,0,0,55,0,0,1,1115,0,1,10,2,0,0,2,0,1,6,0,NA,1,0,3,2,0,27,0,NA,NA,NA,NA,NA,NA,2854.7272727272725,104.54545454545455,504.54545454545456,16.90909090909091
2012,10,2012-03-04T00:00:00Z,2012-03-10T00:00:00Z,0,2,1,2,3,0,0,0,45,1,4,2,1139,0,0,16,0,0,0,3,1,1,12,1,NA,0,0,0,9,0,28,0,NA,NA,NA,NA,NA,NA,2868.3636363636365,95.45454545454545,488.3636363636364,19.454545454545453
2012,11,2012-03-11T00:00:00Z,2012-03-17T00:00:00Z,0,2,1,1,2,0,0,0,64,0,2,0,1011,0,1,8,1,0,0,0,1,1,10,0,NA,1,0,0,2,0,36,0,NA,NA,NA,NA,NA,NA,2615.4545454545455,102.72727272727273,431.6363636363636,15.272727272727273
2012,12,2012-03-18T00:00:00Z,2012-03-24T00:00:00Z,0,1,1,0,2,0,0,0,72,1,2,0,1018,0,1,11,0,0,0,1,2,1,5,0,NA,0,0,3,3,0,26,0,NA,NA,NA,NA,NA,NA,2803.4545454545455,111.63636363636364,507.45454545454544,21.272727272727273
2012,13,2012-03-25T00:00:00Z,2012-03-31T00:00:00Z,0,0,2,1,2,0,0,0,48,0,4,0,1017,0,0,15,2,0,0,2,0,2,14,0,NA,0,0,1,0,0,27,0,NA,NA,NA,NA,NA,NA,2710.909090909091,106,476.72727272727275,17.09090909090909
2012,14,2012-04-01T00:00:00Z,2012-04-07T00:00:00Z,0,0,1,0,2,0,0,0,52,0,2,0,952,0,0,6,2,0,0,0,0,0,2,0,NA,0,0,1,1,0,27,0,NA,NA,NA,NA,NA,NA,2935.3333333333335,109.55555555555556,485.55555555555554,20.444444444444443
