"Year","Epidemiology Wk","Start","End","Dengue","DHF","HFMD","Salmonellosis(non-enteric fevers)","Acute Upper Respiratory Tract infections","Acute Diarrhoea"
2012,1,2012-01-01,2012-01-07,74,0,326,26,2932.22222222222,490.888888888889
2012,2,2012-01-08,2012-01-14,64,2,346,24,3188.72727272727,575.090909090909
2012,3,2012-01-15,2012-01-21,60,1,463,21,3184.54545454545,538.909090909091
2012,4,2012-01-22,2012-01-28,50,2,372,12,4000.57142857143,614.571428571429
2012,5,2012-01-29,2012-02-04,84,1,444,37,3355.81818181818,558.545454545455
2012,6,2012-02-05,2012-02-11,87,0,683,40,3357.63636363636,556.909090909091
2012,7,2012-02-12,2012-02-18,65,0,810,29,3033.09090909091,529.272727272727
2012,8,2012-02-19,2012-02-25,50,1,989,12,2953.45454545455,512.727272727273
2012,9,2012-02-26,2012-03-03,55,0,1115,27,2854.72727272727,504.545454545455
2012,10,2012-03-04,2012-03-10,45,1,1139,28,2868.36363636364,488.363636363636
2012,11,2012-03-11,2012-03-17,64,0,1011,36,2615.45454545455,431.636363636364
2012,12,2012-03-18,2012-03-24,72,1,1018,26,2803.45454545455,507.454545454545
2012,13,2012-03-25,2012-03-31,48,0,1017,27,2710.90909090909,476.727272727273
2012,14,2012-04-01,2012-04-07,52,0,952,27,2935.33333333333,485.555555555556
2012,15,2012-04-08,2012-04-14,81,1,1167,25,3098.18181818182,487.454545454545
2012,16,2012-04-15,2012-04-21,77,0,1387,36,3055.63636363636,501.636363636364
2012,17,2012-04-22,2012-04-28,64,0,1581,27,3021.63636363636,477.636363636364
2012,18,2012-04-29,2012-05-05,86,2,1462,21,3090,536.5
2012,19,2012-05-06,2012-05-12,96,1,1607,34,3099.81818181818,488.181818181818
2012,20,2012-05-13,2012-05-19,80,0,1682,28,3167.27272727273,480.545454545455
2012,21,2012-05-20,2012-05-26,80,0,1458,32,2982.18181818182,454
2012,22,2012-05-27,2012-06-02,81,0,1105,30,2719.09090909091,427.818181818182
2012,23,2012-06-03,2012-06-09,99,1,981,37,2550.18181818182,404.181818181818
2012,24,2012-06-10,2012-06-16,87,1,906,27,2494.54545454545,416
2012,25,2012-06-17,2012-06-23,128,1,794,32,2381.27272727273,398.727272727273
2012,26,2012-06-24,2012-06-30,151,0,728,23,2471.27272727273,468.181818181818
2012,27,2012-07-01,2012-07-07,140,0,686,27,2597.09090909091,497.636363636364
2012,28,2012-07-08,2012-07-14,131,1,681,17,2949.27272727273,547.090909090909
2012,29,2012-07-15,2012-07-21,124,1,754,25,3168.18181818182,544.909090909091
2012,30,2012-07-22,2012-07-28,110,0,868,28,3214.36363636364,564.909090909091
2012,31,2012-07-29,2012-08-04,94,0,748,39,2979.63636363636,575.818181818182
2012,32,2012-08-05,2012-08-11,127,0,628,28,2857.11111111111,538.666666666667
2012,33,2012-08-12,2012-08-18,115,0,573,33,2650,539.090909090909
2012,34,2012-08-19,2012-08-25,92,0,497,25,2669.33333333333,604.444444444444
2012,35,2012-08-26,2012-09-01,102,0,501,42,2533.09090909091,511.636363636364
2012,36,2012-09-02,2012-09-08,75,1,540,28,2342.72727272727,400.363636363636
2012,37,2012-09-09,2012-09-15,73,1,567,38,2618.72727272727,496.727272727273
2012,38,2012-09-16,2012-09-22,72,0,582,37,2578.72727272727,499.636363636364
2012,39,2012-09-23,2012-09-29,99,1,482,35,2516.54545454545,498.181818181818
2012,40,2012-09-30,2012-10-06,103,1,437,31,2575.27272727273,520.363636363636
2012,41,2012-10-07,2012-10-13,122,1,376,23,2637.81818181818,494
2012,42,2012-10-14,2012-10-20,105,0,341,24,2694.54545454545,506.909090909091
2012,43,2012-10-21,2012-10-27,84,0,325,26,2768.22222222222,521.777777777778
2012,44,2012-10-28,2012-11-03,104,0,265,27,2604.54545454545,486.181818181818
2012,45,2012-11-04,2012-11-10,99,1,237,33,2577.63636363636,476.545454545455
2012,46,2012-11-11,2012-11-17,87,1,238,32,2580.88888888889,538.222222222222
2012,47,2012-11-18,2012-11-24,99,1,283,24,2504.18181818182,498.909090909091
2012,48,2012-11-25,2012-12-01,80,0,219,35,2541.63636363636,483.636363636364
2012,49,2012-12-02,2012-12-08,78,0,217,35,2680.72727272727,481.454545454545
2012,50,2012-12-09,2012-12-15,104,1,198,23,2604.36363636364,469.090909090909
2012,51,2012-12-16,2012-12-22,92,2,185,34,2497.27272727273,418.909090909091
2012,52,2012-12-23,2012-12-29,111,1,154,26,2812,473.25
2013,1,2012-12-30,2013-01-05,132,2,148,26,3022,540.75
2013,2,2013-01-06,2013-01-12,204,1,191,26,3119.81818181818,595.636363636364
2013,3,2013-01-13,2013-01-19,219,0,171,26,3132.90909090909,568.727272727273
2013,4,2013-01-20,2013-01-26,264,3,172,32,3190.36363636364,543.454545454545
2013,5,2013-01-27,2013-02-02,292,1,185,30,3035.81818181818,501.818181818182
2013,6,2013-02-03,2013-02-09,322,0,164,28,2598.72727272727,475.454545454545
2013,7,2013-02-10,2013-02-16,246,1,181,20,3032.85714285714,572.571428571429
2013,8,2013-02-17,2013-02-23,294,2,265,26,2941.63636363636,510
