Epiyear,Epiweek,Start,End,Dengue,DHF,HFMD,Salmonellosis(non-enteric fevers),Acute Upper Respiratory Tract infections,Acute Diarrhoea
2012,1,2012-01-01T00:00:00Z,2012-01-07T00:00:00Z,74,0,326,26,2932.222222222222,490.8888888888889
2012,2,2012-01-08T00:00:00Z,2012-01-14T00:00:00Z,64,2,346,24,3188.7272727272725,575.0909090909091
2012,3,2012-01-15T00:00:00Z,2012-01-21T00:00:00Z,60,1,463,21,3184.5454545454545,538.9090909090909
2012,4,2012-01-22T00:00:00Z,2012-01-28T00:00:00Z,50,2,372,12,4000.5714285714284,614.5714285714286
2012,5,2012-01-29T00:00:00Z,2012-02-04T00:00:00Z,84,1,444,37,3355.818181818182,558.5454545454545
2012,6,2012-02-05T00:00:00Z,2012-02-11T00:00:00Z,87,0,683,40,3357.6363636363635,556.9090909090909
2012,7,2012-02-12T00:00:00Z,2012-02-18T00:00:00Z,65,0,810,29,3033.090909090909,529.2727272727273
2012,8,2012-02-19T00:00:00Z,2012-02-25T00:00:00Z,50,1,989,12,2953.4545454545455,512.7272727272727
2012,9,2012-02-26T00:00:00Z,2012-03-03T00:00:00Z,55,0,1115,27,2854.7272727272725,504.54545454545456
2012,10,2012-03-04T00:00:00Z,2012-03-10T00:00:00Z,45,1,1139,28,2868.3636363636365,488.3636363636364
2012,11,2012-03-11T00:00:00Z,2012-03-17T00:00:00Z,64,0,1011,36,2615.4545454545455,431.6363636363636
2012,12,2012-03-18T00:00:00Z,2012-03-24T00:00:00Z,72,1,1018,26,2803.4545454545455,507.45454545454544
2012,13,2012-03-25T00:00:00Z,2012-03-31T00:00:00Z,48,0,1017,27,2710.909090909091,476.72727272727275
2012,14,2012-04-01T00:00:00Z,2012-04-07T00:00:00Z,52,0,952,27,2935.3333333333335,485.55555555555554
2012,15,2012-04-08T00:00:00Z,2012-04-14T00:00:00Z,81,1,1167,25,3098.181818181818,487.45454545454544
2012,16,2012-04-15T00:00:00Z,2012-04-21T00:00:00Z,77,0,1387,36,3055.6363636363635,501.6363636363636
2012,17,2012-04-22T00:00:00Z,2012-04-28T00:00:00Z,64,0,1581,27,3021.6363636363635,477.6363636363636
2012,18,2012-04-29T00:00:00Z,2012-05-05T00:00:00Z,86,2,1462,21,3090,536.5
2012,19,2012-05-06T00:00:00Z,2012-05-12T00:00:00Z,96,1,1607,34,3099.818181818182,488.1818181818182
2012,20,2012-05-13T00:00:00Z,2012-05-19T00:00:00Z,80,0,1682,28,3167.2727272727275,480.54545454545456
2012,21,2012-05-20T00:00:00Z,2012-05-26T00:00:00Z,80,0,1458,32,2982.181818181818,454
2012,22,2012-05-27T00:00:00Z,2012-06-02T00:00:00Z,81,0,1105,30,2719.090909090909,427.8181818181818
2012,23,2012-06-03T00:00:00Z,2012-06-09T00:00:00Z,99,1,981,37,2550.181818181818,404.1818181818182
2012,24,2012-06-10T00:00:00Z,2012-06-16T00:00:00Z,87,1,906,27,2494.5454545454545,416
2012,25,2012-06-17T00:00:00Z,2012-06-23T00:00:00Z,128,1,794,32,2381.2727272727275,398.72727272727275
2012,26,2012-06-24T00:00:00Z,2012-06-30T00:00:00Z,151,0,728,23,2471.2727272727275,468.1818181818182
2012,27,2012-07-01T00:00:00Z,2012-07-07T00:00:00Z,140,0,686,27,2597.090909090909,497.6363636363636
2012,28,2012-07-08T00:00:00Z,2012-07-14T00:00:00Z,131,1,681,17,2949.2727272727275,547.0909090909091
2012,29,2012-07-15T00:00:00Z,2012-07-21T00:00:00Z,124,1,754,25,3168.181818181818,544.9090909090909
2012,30,2012-07-22T00:00:00Z,2012-07-28T00:00:00Z,110,0,868,28,3214.3636363636365,564.9090909090909
2012,31,2012-07-29T00:00:00Z,2012-08-04T00:00:00Z,94,0,748,39,2979.6363636363635,575.8181818181819
2012,32,2012-08-05T00:00:00Z,2012-08-11T00:00:00Z,127,0,628,28,2857.1111111111113,538.6666666666666
2012,33,2012-08-12T00:00:00Z,2012-08-18T00:00:00Z,115,0,573,33,2650,539.0909090909091
2012,34,2012-08-19T00:00:00Z,2012-08-25T00:00:00Z,92,0,497,25,2669.3333333333335,604.4444444444445
2012,35,2012-08-26T00:00:00Z,2012-09-01T00:00:00Z,102,0,501,42,2533.090909090909,511.6363636363636
