Station,Year,Month,Day,Rainfall,Mean_temp,Max_temp,Min_temp
Admiralty,2012,1,1,0,27.3,32.4,25
Admiralty,2012,1,2,0,27.1,30.8,25
Admiralty,2012,1,3,0,26.9,29.9,25.3
Admiralty,2012,1,4,0,26.8,31.2,24.2
Admiralty,2012,1,5,0,26.4,30.4,23.9
Admiralty,2012,1,6,0,27.1,30.9,24.5
Admiralty,2012,1,7,1.4,26.5,30.9,24.7
Admiralty,2012,1,8,3.4,24.8,26.2,23.8
Admiralty,2012,1,9,2.6,25.4,27.6,24.2
Admiralty,2012,1,10,8.6,24.7,26.4,23.6
Admiralty,2012,1,11,0.4,25.9,28.6,24.4
Admiralty,2012,1,12,0.4,25.8,28.5,23.7
Admiralty,2012,1,13,0,26,29.6,23.2
Admiralty,2012,1,14,14.6,27.5,32,24
Admiralty,2012,1,15,0,27.3,32.7,22
Admiralty,2012,1,16,0,28.3,33.4,25.3
Admiralty,2012,1,17,6.4,28.2,34.1,25.8
Admiralty,2012,1,18,5,27.1,31.9,24.7
Admiralty,2012,1,19,9.4,27,32.2,24.3
Admiralty,2012,1,20,20.4,25.2,31.4,22.6
Admiralty,2012,1,21,66,26.1,34.1,23.4
Admiralty,2012,1,22,34.2,26.6,32.1,22.3
Admiralty,2012,1,23,8.6,25.1,30.3,23.6
Admiralty,2012,1,24,0,25.9,29.5,23.1
Admiralty,2012,1,25,0,27.1,31.5,24.3
Admiralty,2012,1,26,0,26.8,29.7,24.7
Admiralty,2012,1,27,3,26.5,31,24.2
Admiralty,2012,1,28,0,25.7,27.5,24.6
Admiralty,2012,1,29,0,27.1,32.6,24.2
Admiralty,2012,1,30,1,27.1,32.4,24.1
Admiralty,2012,1,31,11.6,26.2,30.5,24
Admiralty,2012,2,1,0,26.8,29.8,24.8
Admiralty,2012,2,2,17.2,25.3,29.7,23.5
Admiralty,2012,2,3,0.4,24.9,27.2,24.2
Admiralty,2012,2,4,0.2,25.9,28.4,23.7
Admiralty,2012,2,5,0.8,26.9,30.6,24.5
Admiralty,2012,2,6,0.4,26.9,31.6,24.6
Admiralty,2012,2,7,0,27.1,32,24.1
Admiralty,2012,2,8,0,27.3,32.4,23.8
Admiralty,2012,2,9,0,26.7,31.5,23.6
Admiralty,2012,2,10,0,27.1,31.5,24.1
Admiralty,2012,2,11,0,27.4,32.2,24.7
Admiralty,2012,2,12,1.4,27.2,31.2,25.1
Admiralty,2012,2,13,0.4,26.5,29.8,24.9
Admiralty,2012,2,14,0,27.3,31.5,24.8
Admiralty,2012,2,15,0.4,26.8,33.4,24.4
Admiralty,2012,2,16,4.2,27.2,33,24.4
Admiralty,2012,2,17,46.8,26.6,33.5,22.9
Admiralty,2012,2,18,24.2,25.1,28.2,23
Admiralty,2012,2,19,0.2,25.9,31.4,22.2
Admiralty,2012,2,20,16.4,26.2,30.8,24.5
Admiralty,2012,2,21,0,26.5,29.4,24.7
Admiralty,2012,2,22,0,27.1,31.4,24.7
Admiralty,2012,2,23,0,28.1,32.9,25.3
Admiralty,2012,2,24,0,28.1,32.6,25.6
Admiralty,2012,2,25,0,27.9,33.5,25.3
Admiralty,2012,2,26,0.4,27.5,32.2,25.4
Admiralty,2012,2,27,0,27.4,30.9,25.4
Admiralty,2012,2,28,0,27.8,33.1,24.7
Admiralty,2012,2,29,0,27.1,32.2,25.2
Admiralty,2012,3,1,9.2,26.4,32.6,24.3
Admiralty,2012,3,2,8.6,25.2,28.2,23.8
Admiralty,2012,3,3,0.2,26.9,30.9,24.2
Admiralty,2012,3,4,0.4,28.1,33.4,25.5
Admiralty,2012,3,5,11.6,25.5,28.3,21.6
Admiralty,2012,3,6,0.8,27.8,32.3,24.7
Admiralty,2012,3,7,11.8,27.3,31.6,25.4
Admiralty,2012,3,8,37.6,26.8,30.6,24
Admiralty,2012,3,9,0,26.5,29.4,23.3
Admiralty,2012,3,10,4.2,27.4,31.7,24.9
Admiralty,2012,3,11,10.6,26.4,30.7,24.3
Admiralty,2012,3,12,0,25.3,27,24.4
Admiralty,2012,3,13,26,26.1,30.5,24.1
Admiralty,2012,3,14,11.8,24.4,26,23.1
Admiralty,2012,3,15,0,26.4,30.1,24.1
Admiralty,2012,3,16,0,28,32.5,24.9
Admiralty,2012,3,17,2.4,27.7,32.4,24.7
Admiralty,2012,3,18,14.2,26.8,32,23.5
Admiralty,2012,3,19,0.8,27.5,30.9,25.1
Admiralty,2012,3,20,0,27.8,30.8,25.4
Admiralty,2012,3,21,66.8,27.4,33.1,21.9
Admiralty,2012,3,22,0,27.5,32.9,25.1
Admiralty,2012,3,23,0,27.6,34.3,24.9
Admiralty,2012,3,24,0,27.7,33.3,24.6
Admiralty,2012,3,25,18,26.8,32.8,23
Admiralty,2012,3,26,2.4,27,30.7,24.9
Admiralty,2012,3,27,6.6,27.3,32.4,24.3
Admiralty,2012,3,28,0,27,30.6,25.5
Admiralty,2012,3,29,0,27.3,33.7,25.2
Admiralty,2012,3,30,25.2,26.8,30.3,24.9
Admiralty,2012,3,31,5.2,25.7,28.7,23.1
Admiralty,2012,4,1,13.4,28.4,33.2,24.8
Admiralty,2012,4,2,2.8,27.1,30.2,22.8
Admiralty,2012,4,3,7,27.8,31.3,25.7
Admiralty,2012,4,4,3,27.2,32.9,23.2
Admiralty,2012,4,5,5.8,27.5,33.3,24.9
Admiralty,2012,4,6,33.2,26.2,30.2,23.2
Admiralty,2012,4,7,40,26.4,33,24.1
Admiralty,2012,4,8,17.4,26.7,31.6,24.8
Admiralty,2012,4,9,21.2,26.1,30.3,24.2
Admiralty,2012,4,10,93,26.1,34.4,22.4
Admiralty,2012,4,11,0.2,26.7,30.9,24.1
Admiralty,2012,4,12,12.8,27.4,30.5,23.3
Admiralty,2012,4,13,0,29.1,33.9,25.2
Admiralty,2012,4,14,32.4,26.9,32.4,23.6
Admiralty,2012,4,15,0,27.7,32.4,23.9
Admiralty,2012,4,16,2.6,27.2,34.2,25.4
Admiralty,2012,4,17,0,27.4,31.9,24.8
Admiralty,2012,4,18,30.8,28.3,33.5,23.7
Admiralty,2012,4,19,0.6,26.3,31.5,24.5
Admiralty,2012,4,20,7,28.6,32.4,25.1
Admiralty,2012,4,21,10.4,26.7,29.4,24.4
Admiralty,2012,4,22,0.6,28.2,33.4,24.5
Admiralty,2012,4,23,0.4,27.9,33.9,24.9
Admiralty,2012,4,24,0,26.9,31,25.3
Admiralty,2012,4,25,0,28.4,32.6,26
Admiralty,2012,4,26,3.4,28.9,31.9,26.6
Admiralty,2012,4,27,0,29.3,33.5,24.7
Admiralty,2012,4,28,0,29.2,32.9,26.8
Admiralty,2012,4,29,0,28.6,33.2,26.6
Admiralty,2012,4,30,1.4,28.2,33.4,25.1
Admiralty,2012,5,1,20.6,27.6,33.4,25
Admiralty,2012,5,2,6.4,26.7,29.8,24.5
Admiralty,2012,5,3,0,28.4,31.8,25.7
Admiralty,2012,5,4,131.4,29,31.9,26.7
Admiralty,2012,5,5,0.4,26.7,30.4,21.9
Admiralty,2012,5,6,36,26.4,32.9,22.8
Admiralty,2012,5,7,0.2,25.6,27.7,22.6
Admiralty,2012,5,8,30.8,29.1,33.1,25.2
Admiralty,2012,5,9,4.6,27.2,34.6,22.9
Admiralty,2012,5,10,10.2,27.4,34,24.4
Admiralty,2012,5,11,0.8,27.9,32.1,25.1
Admiralty,2012,5,12,4.8,29,32.3,26.2
Admiralty,2012,5,13,0.2,27.2,29.8,23.3
Admiralty,2012,5,14,0,29.3,32.6,26.9
Admiralty,2012,5,15,2.2,29.2,32.9,26.6
Admiralty,2012,5,16,11,28.1,31.8,24.1
Admiralty,2012,5,17,0,26.8,29.6,23.5
Admiralty,2012,5,18,0,29.1,33.8,26.1
Admiralty,2012,5,19,0,29.7,34.7,26.6
Admiralty,2012,5,20,6.2,28.4,32.4,25.3
Admiralty,2012,5,21,2,28.3,33.1,25.2
Admiralty,2012,5,22,11.2,28.6,33,24.5
Admiralty,2012,5,23,0,27.6,31.2,24.5
Admiralty,2012,5,24,2.6,28.8,32.6,26.6
Admiralty,2012,5,25,0,28.4,31,25.4
Admiralty,2012,5,26,56.2,27.6,31.5,23.8
Admiralty,2012,5,27,0,26.9,30.6,23
Admiralty,2012,5,28,0,28.9,32.9,25.2
Admiralty,2012,5,29,2,28.2,31.3,26.3
Admiralty,2012,5,30,0.8,27.9,33,25.7
Admiralty,2012,5,31,0.8,28,33.5,24.7
Admiralty,2012,6,1,0,27.7,30.7,25
Admiralty,2012,6,2,0,28.5,31.3,26.5
Admiralty,2012,6,3,0.6,28,31.7,25.3
Admiralty,2012,6,4,1.4,28.7,32.6,26.8
Admiralty,2012,6,5,0.8,29,32.2,26.1
Admiralty,2012,6,6,0,28.5,31.3,25.9
Admiralty,2012,6,7,0,30,33.7,27.6
Admiralty,2012,6,8,68,28.4,31.3,25.1
Admiralty,2012,6,9,0.4,26.3,29.1,23.3
Admiralty,2012,6,10,0,29.1,33.3,26.1
Admiralty,2012,6,11,0,28.8,30.2,27.6
Admiralty,2012,6,12,0,29.2,33,27.6
Admiralty,2012,6,13,0,29.6,33.6,26.9
Admiralty,2012,6,14,0,30,33.6,27.4
Admiralty,2012,6,15,0,29.9,33.2,27.2
Admiralty,2012,6,16,0,29.6,33,27.1
Admiralty,2012,6,17,0,29.6,32.8,27.3
Admiralty,2012,6,18,0,29.8,33.1,27.1
Admiralty,2012,6,19,19.4,28.5,33.5,24.9
Admiralty,2012,6,20,0,28.9,32.9,26.3
Admiralty,2012,6,21,1.4,27.7,31.5,24
Admiralty,2012,6,22,0,28.6,32.8,24.9
Admiralty,2012,6,23,0,29.9,34,27.4
Admiralty,2012,6,24,0,29.4,33.6,26.3
Admiralty,2012,6,25,0,29.2,33.2,26.2
Admiralty,2012,6,26,0,27.8,32.3,25.4
Admiralty,2012,6,27,9,27.2,30.5,23.8
Admiralty,2012,6,28,0,28,31.9,24.6
Admiralty,2012,6,29,0,28.8,32.7,26
Admiralty,2012,6,30,4.4,27.5,31.4,24.3
Admiralty,2012,7,1,0,28.3,32.4,25.8
Admiralty,2012,7,2,42,27.4,31.4,22.8
Admiralty,2012,7,3,31.6,26.2,30.4,23.9
Admiralty,2012,7,4,50.4,26.3,29.4,23.5
Admiralty,2012,7,5,51.2,25.9,28.9,23.4
Admiralty,2012,7,6,0,27.9,31.9,24.9
Admiralty,2012,7,7,7.4,27,31.7,24.4
Admiralty,2012,7,8,0,27.3,32.1,23.2
Admiralty,2012,7,9,0,28.4,31.5,26.8
Admiralty,2012,7,10,0.6,27.2,30.8,25.9
Admiralty,2012,7,11,0,27,29.5,25.7
Admiralty,2012,7,12,0.4,28,31.1,25.8
Admiralty,2012,7,13,0.2,28.5,31.8,26.1
Admiralty,2012,7,14,9,26.1,27.9,24.3
Admiralty,2012,7,15,0.2,27.1,32.4,25.2
Admiralty,2012,7,16,50.2,25.8,28.3,23.1
Admiralty,2012,7,17,6.8,25.9,30.6,24.4
Admiralty,2012,7,18,0,27.3,30.6,24.9
Admiralty,2012,7,19,36.2,26,30.9,23.4
Admiralty,2012,7,20,0.4,27.3,31.9,24
Admiralty,2012,7,21,0,28.9,33,26.3
Admiralty,2012,7,22,0,29,33.3,25.3
Admiralty,2012,7,23,0,28.9,32.2,26.6
Admiralty,2012,7,24,0,29,32.1,26.6
Admiralty,2012,7,25,0,29,32.9,26.4
Admiralty,2012,7,26,0,29.4,33,27.2
Admiralty,2012,7,27,0,29.2,32.9,26.9
Admiralty,2012,7,28,3.4,28.2,32.9,24
Admiralty,2012,7,29,0,28.5,32,25.5
Admiralty,2012,7,30,0,28.9,32.2,26.7
Admiralty,2012,7,31,0,28.8,32.2,26.7
Admiralty,2012,8,1,0.8,27.8,30,24.9
Admiralty,2012,8,2,0,28.7,32.2,26.3
Admiralty,2012,8,3,40,27.4,31,24.5
Admiralty,2012,8,4,10,26.9,32,24.5
Admiralty,2012,8,5,0,28.1,32.1,25.3
Admiralty,2012,8,6,2.6,27.6,31,25.1
Admiralty,2012,8,7,0,28.2,32.3,24.2
Admiralty,2012,8,8,0,28.7,31.9,25.3
Admiralty,2012,8,9,0,28.7,32,26
Admiralty,2012,8,10,0,29,32.9,26.6
Admiralty,2012,8,11,0,29.2,33,25.5
Admiralty,2012,8,12,0,28.2,32.8,25.3
Admiralty,2012,8,13,1.4,27.7,31.3,24.3
Admiralty,2012,8,14,0,29.3,33.5,25.5
Admiralty,2012,8,15,0,29,32.6,26.9
Admiralty,2012,8,16,0,28.1,31,25.8
Admiralty,2012,8,17,17.6,26.6,29.6,23
Admiralty,2012,8,18,0,27.5,32.5,24.6
Admiralty,2012,8,19,5.8,27.2,31.9,24
Admiralty,2012,8,20,30.4,28,32.9,22.1
Admiralty,2012,8,21,2.4,26.9,33.3,25
Admiralty,2012,8,22,0.4,27.4,31.6,24.4
Admiralty,2012,8,23,1.4,26.7,29.5,23.8
Admiralty,2012,8,24,0,28.5,32.2,25.6
Admiralty,2012,8,25,8.2,27.6,30.5,25.4
Admiralty,2012,8,26,2.6,27.2,30.7,25.5
Admiralty,2012,8,27,35.4,25.3,29,23.6
Admiralty,2012,8,28,0.2,25.8,28.4,24.4
Admiralty,2012,8,29,0,27.4,30,24.9
Admiralty,2012,8,30,6.8,25.8,28.7,23.9
Admiralty,2012,8,31,2,26,28.6,23.9
Admiralty,2012,9,1,0,28.9,32.5,26.4
Admiralty,2012,9,2,0,29,32.9,26.3
Admiralty,2012,9,3,0,28.9,33,26.6
Admiralty,2012,9,4,2.2,28.6,32.8,24.3
Admiralty,2012,9,5,0,26.2,29.2,24.4
