Station,Date,Epiyear,Epiweek,Rainfall,Mean_temp,Temp_range
Admiralty,2012-01-01,2012,1,0,27.3,7.399999999999999
Admiralty,2012-01-02,2012,1,0,27.1,5.800000000000001
Admiralty,2012-01-03,2012,1,0,26.9,4.599999999999998
Admiralty,2012-01-04,2012,1,0,26.8,7
Admiralty,2012-01-05,2012,1,0,26.4,6.5
Admiralty,2012-01-06,2012,1,0,27.1,6.399999999999999
Admiralty,2012-01-07,2012,1,1.4,26.5,6.199999999999999
Admiralty,2012-01-08,2012,2,3.4,24.8,2.3999999999999986
Admiralty,2012-01-09,2012,2,2.6,25.4,3.400000000000002
Admiralty,2012-01-10,2012,2,8.6,24.7,2.799999999999997
Admiralty,2012-01-11,2012,2,0.4,25.9,4.200000000000003
Admiralty,2012-01-12,2012,2,0.4,25.8,4.800000000000001
Admiralty,2012-01-13,2012,2,0,26,6.400000000000002
Admiralty,2012-01-14,2012,2,14.6,27.5,8
Admiralty,2012-01-15,2012,3,0,27.3,10.700000000000003
Admiralty,2012-01-16,2012,3,0,28.3,8.099999999999998
Admiralty,2012-01-17,2012,3,6.4,28.2,8.3
Admiralty,2012-01-18,2012,3,5,27.1,7.199999999999999
Admiralty,2012-01-19,2012,3,9.4,27,7.900000000000002
Admiralty,2012-01-20,2012,3,20.4,25.2,8.799999999999997
Admiralty,2012-01-21,2012,3,66,26.1,10.700000000000003
Admiralty,2012-01-22,2012,4,34.2,26.6,9.8
Admiralty,2012-01-23,2012,4,8.6,25.1,6.699999999999999
Admiralty,2012-01-24,2012,4,0,25.9,6.399999999999999
Admiralty,2012-01-25,2012,4,0,27.1,7.199999999999999
Admiralty,2012-01-26,2012,4,0,26.8,5
Admiralty,2012-01-27,2012,4,3,26.5,6.800000000000001
Admiralty,2012-01-28,2012,4,0,25.7,2.8999999999999986
Admiralty,2012-01-29,2012,5,0,27.1,8.400000000000002
Admiralty,2012-01-30,2012,5,1,27.1,8.299999999999997
Admiralty,2012-01-31,2012,5,11.6,26.2,6.5
Admiralty,2012-02-01,2012,5,0,26.8,5
