"Station","Epiyear","Epiweek","Date","Daily_Rainfall_Total_mm","Highest_30_Min_Rainfall_mm","Highest_60_Min_Rainfall_mm","Highest_120_Min_Rainfall_mm","Mean_Temperature_degC","Maximum_Temperature_degC","Minimum_Temperature_degC","Mean_Wind_Speed_kmh","Max_Wind_Speed_kmh"
"Admiralty",2012,1,2012-01-01,0,NA,NA,NA,27.3,32.4,25,8.9,31.3
"Admiralty",2012,1,2012-01-02,0,NA,NA,NA,27.1,30.8,25,12.8,33.1
"Admiralty",2012,1,2012-01-03,0,NA,NA,NA,26.9,29.9,25.3,13.9,41.4
"Admiralty",2012,1,2012-01-04,0,NA,NA,NA,26.8,31.2,24.2,11.8,36
"Admiralty",2012,1,2012-01-05,0,NA,NA,NA,26.4,30.4,23.9,12.4,36.7
"Admiralty",2012,1,2012-01-06,0,NA,NA,NA,27.1,30.9,24.5,13.3,37.4
"Admiralty",2012,1,2012-01-07,1.4,NA,NA,NA,26.5,30.9,24.7,14,48.6
"Admiralty",2012,2,2012-01-08,3.4,NA,NA,NA,24.8,26.2,23.8,11.5,37.8
"Admiralty",2012,2,2012-01-09,2.6,NA,NA,NA,25.4,27.6,24.2,9.4,38.5
"Admiralty",2012,2,2012-01-10,8.6,NA,NA,NA,24.7,26.4,23.6,9,30.2
"Admiralty",2012,2,2012-01-11,0.4,NA,NA,NA,25.9,28.6,24.4,9.9,35.6
"Admiralty",2012,2,2012-01-12,0.4,NA,NA,NA,25.8,28.5,23.7,12.5,37.8
"Admiralty",2012,2,2012-01-13,0,NA,NA,NA,26,29.6,23.2,12.6,40.7
"Admiralty",2012,2,2012-01-14,14.6,NA,NA,NA,27.5,32,24,6.3,19.4
"Admiralty",2012,3,2012-01-15,0,NA,NA,NA,27.3,32.7,22,7.6,56.9
"Admiralty",2012,3,2012-01-16,0,NA,NA,NA,28.3,33.4,25.3,8.9,24.8
"Admiralty",2012,3,2012-01-17,6.4,NA,NA,NA,28.2,34.1,25.8,9.7,34.9
"Admiralty",2012,3,2012-01-18,5,NA,NA,NA,27.1,31.9,24.7,6.5,26.6
"Admiralty",2012,3,2012-01-19,9.4,NA,NA,NA,27,32.2,24.3,9.2,36.4
"Admiralty",2012,3,2012-01-20,20.4,NA,NA,NA,25.2,31.4,22.6,7.9,32.4
"Admiralty",2012,3,2012-01-21,66,NA,NA,NA,26.1,34.1,23.4,5.4,45
"Admiralty",2012,4,2012-01-22,34.2,NA,NA,NA,26.6,32.1,22.3,7.3,45
"Admiralty",2012,4,2012-01-23,8.6,NA,NA,NA,25.1,30.3,23.6,7.4,37.1
"Admiralty",2012,4,2012-01-24,0,NA,NA,NA,25.9,29.5,23.1,9.7,30.6
"Admiralty",2012,4,2012-01-25,0,NA,NA,NA,27.1,31.5,24.3,11.5,36.4
"Admiralty",2012,4,2012-01-26,0,NA,NA,NA,26.8,29.7,24.7,13.2,34.9
"Admiralty",2012,4,2012-01-27,3,NA,NA,NA,26.5,31,24.2,11.6,41
"Admiralty",2012,4,2012-01-28,0,NA,NA,NA,25.7,27.5,24.6,10.2,32.4
"Admiralty",2012,5,2012-01-29,0,NA,NA,NA,27.1,32.6,24.2,9.1,25.6
"Admiralty",2012,5,2012-01-30,1,NA,NA,NA,27.1,32.4,24.1,8.2,27
"Admiralty",2012,5,2012-01-31,11.6,NA,NA,NA,26.2,30.5,24,10,31.7
"Admiralty",2012,5,2012-02-01,0,NA,NA,NA,26.8,29.8,24.8,12.9,40.7
"Admiralty",2012,5,2012-02-02,17.2,NA,NA,NA,25.3,29.7,23.5,9.4,35.3
"Admiralty",2012,5,2012-02-03,0.4,NA,NA,NA,24.9,27.2,24.2,7.4,26.3
"Admiralty",2012,5,2012-02-04,0.2,NA,NA,NA,25.9,28.4,23.7,12.5,40
"Admiralty",2012,6,2012-02-05,0.8,NA,NA,NA,26.9,30.6,24.5,10.1,31.7
"Admiralty",2012,6,2012-02-06,0.4,NA,NA,NA,26.9,31.6,24.6,9.5,36
"Admiralty",2012,6,2012-02-07,0,NA,NA,NA,27.1,32,24.1,9.1,36.4
"Admiralty",2012,6,2012-02-08,0,NA,NA,NA,27.3,32.4,23.8,10.2,30.6
"Admiralty",2012,6,2012-02-09,0,NA,NA,NA,26.7,31.5,23.6,11.3,32
"Admiralty",2012,6,2012-02-10,0,NA,NA,NA,27.1,31.5,24.1,13.3,39.2
"Admiralty",2012,6,2012-02-11,0,NA,NA,NA,27.4,32.2,24.7,12.8,43.6
"Admiralty",2012,7,2012-02-12,1.4,NA,NA,NA,27.2,31.2,25.1,12.3,34.6
"Admiralty",2012,7,2012-02-13,0.4,NA,NA,NA,26.5,29.8,24.9,11.8,36.4
"Admiralty",2012,7,2012-02-14,0,NA,NA,NA,27.3,31.5,24.8,9.9,30.2
"Admiralty",2012,7,2012-02-15,0.4,NA,NA,NA,26.8,33.4,24.4,7.5,41
"Admiralty",2012,7,2012-02-16,4.2,NA,NA,NA,27.2,33,24.4,8.2,40
"Admiralty",2012,7,2012-02-17,46.8,NA,NA,NA,26.6,33.5,22.9,6.5,36
"Admiralty",2012,7,2012-02-18,24.2,NA,NA,NA,25.1,28.2,23,7.5,45.7
"Admiralty",2012,8,2012-02-19,0.2,NA,NA,NA,25.9,31.4,22.2,7.4,36.4
"Admiralty",2012,8,2012-02-20,16.4,NA,NA,NA,26.2,30.8,24.5,9.6,29.9
"Admiralty",2012,8,2012-02-21,0,NA,NA,NA,26.5,29.4,24.7,9.5,31
"Admiralty",2012,8,2012-02-22,0,NA,NA,NA,27.1,31.4,24.7,10.2,32.4
"Admiralty",2012,8,2012-02-23,0,NA,NA,NA,28.1,32.9,25.3,10.2,29.2
"Admiralty",2012,8,2012-02-24,0,NA,NA,NA,28.1,32.6,25.6,10.4,34.6
"Admiralty",2012,8,2012-02-25,0,NA,NA,NA,27.9,33.5,25.3,9.2,29.2
"Admiralty",2012,9,2012-02-26,0.4,NA,NA,NA,27.5,32.2,25.4,9.2,32.4
"Admiralty",2012,9,2012-02-27,0,NA,NA,NA,27.4,30.9,25.4,7.4,27
"Admiralty",2012,9,2012-02-28,0,NA,NA,NA,27.8,33.1,24.7,9.9,37.1
"Admiralty",2012,9,2012-02-29,0,NA,NA,NA,27.1,32.2,25.2,9,34.6
"Admiralty",2012,9,2012-03-01,9.2,NA,NA,NA,26.4,32.6,24.3,6.3,54
"Admiralty",2012,9,2012-03-02,8.6,NA,NA,NA,25.2,28.2,23.8,6.3,32.8
"Admiralty",2012,9,2012-03-03,0.2,NA,NA,NA,26.9,30.9,24.2,6.3,27.4
"Admiralty",2012,10,2012-03-04,0.4,NA,NA,NA,28.1,33.4,25.5,6.5,22.7
"Admiralty",2012,10,2012-03-05,11.6,NA,NA,NA,25.5,28.3,21.6,6.9,55.1
"Admiralty",2012,10,2012-03-06,0.8,NA,NA,NA,27.8,32.3,24.7,7,27.7
"Admiralty",2012,10,2012-03-07,11.8,NA,NA,NA,27.3,31.6,25.4,5.6,40.7
"Admiralty",2012,10,2012-03-08,37.6,NA,NA,NA,26.8,30.6,24,9.8,35.3
"Admiralty",2012,10,2012-03-09,0,NA,NA,NA,26.5,29.4,23.3,6.9,50.8
"Admiralty",2012,10,2012-03-10,4.2,NA,NA,NA,27.4,31.7,24.9,7.6,25.2
"Admiralty",2012,11,2012-03-11,10.6,NA,NA,NA,26.4,30.7,24.3,8.9,46.8
"Admiralty",2012,11,2012-03-12,0,NA,NA,NA,25.3,27,24.4,12.4,40.3
"Admiralty",2012,11,2012-03-13,26,NA,NA,NA,26.1,30.5,24.1,8.5,41
"Admiralty",2012,11,2012-03-14,11.8,NA,NA,NA,24.4,26,23.1,6.6,27
"Admiralty",2012,11,2012-03-15,0,NA,NA,NA,26.4,30.1,24.1,8.9,34.9
