Station,Epiyear,Epiweek,Year,Month,Day,Daily_Rainfall_Total_mm,Mean_Temperature_degC,Maximum_Temperature_degC,Minimum_Temperature_degC,Mean_Wind_Speed_kmh,Max_Wind_Speed_kmh
Admiralty,2020,1,2019,12,29,0.2,27.2,30.3,25.2,22,48.2
Admiralty,2020,1,2019,12,30,0,27.6,32.5,24.8,19.8,42.8
Admiralty,2020,1,2019,12,31,0,27.6,32.2,24.9,21.2,47.2
Admiralty,2020,1,2020,1,1,0,27.5,31.1,25.4,22,56.5
Admiralty,2020,1,2020,1,2,0,27.4,30.3,25,20.2,57.6
Admiralty,2020,1,2020,1,3,0.2,27.5,30.4,25.7,22.7,52.2
Admiralty,2020,1,2020,1,4,7,26.7,30.3,25.2,20.9,58.7
Admiralty,2020,2,2020,1,5,0,27.6,31.6,25.1,22.3,45.4
Admiralty,2020,2,2020,1,6,4.8,26,30.7,23.8,18,51.5
Admiralty,2020,2,2020,1,7,2,25.9,29.6,23.3,18.7,54.7
Admiralty,2020,2,2020,1,8,1.2,27.2,30.8,25,20.9,50
Admiralty,2020,2,2020,1,9,0,27.5,31.3,25.6,22.3,52.2
Admiralty,2020,2,2020,1,10,0.4,26.9,30.3,25.1,16.2,43.9
Admiralty,2020,2,2020,1,11,0,27.3,30.1,25.1,15.1,35.6
Admiralty,2020,3,2020,1,12,0,27.7,32.4,25.1,15.1,38.5
Admiralty,2020,3,2020,1,13,0,27.2,31.7,24.3,19.1,43.6
Admiralty,2020,3,2020,1,14,0,27.2,31.8,24.6,20.9,45
Admiralty,2020,3,2020,1,15,1,27.2,30.5,25.2,19.8,49
Admiralty,2020,3,2020,1,16,0.2,27.5,31.6,25.9,17.3,38.9
Admiralty,2020,3,2020,1,17,0,27.8,32.4,24.8,19.8,42.8
Admiralty,2020,3,2020,1,18,0.2,27.7,32.1,25.4,19.1,43.9
Admiralty,2020,4,2020,1,19,0,28,32.6,25.6,22,47.9
Admiralty,2020,4,2020,1,20,0,27.6,31.5,25.8,22,55.1
Admiralty,2020,4,2020,1,21,24.6,25.9,27.6,24.1,19.4,50
Admiralty,2020,4,2020,1,22,0,27.6,31.6,25,23,49.7
Admiralty,2020,4,2020,1,23,0,27.7,31.9,25.2,19.8,46.1
Admiralty,2020,4,2020,1,24,0,27.6,31.3,25,21.2,47.5
Admiralty,2020,4,2020,1,25,0,27.6,32.7,24.4,19.4,41
Admiralty,2020,5,2020,1,26,0,28.1,33.7,24.8,17.3,41
Admiralty,2020,5,2020,1,27,39.8,27.4,33.3,23.8,16.2,35.3
Admiralty,2020,5,2020,1,28,0,28.2,33,25.7,16.9,38.9
Admiralty,2020,5,2020,1,29,54.2,26,29.3,23.3,12.6,52.2
Admiralty,2020,5,2020,1,30,0,26.9,31.8,23.4,17.6,44.6
Admiralty,2020,5,2020,1,31,0,27.9,31.9,25.7,22.3,52.2
Admiralty,2020,5,2020,2,1,0,27.7,30.7,25.9,24.5,60.5
Admiralty,2020,6,2020,2,2,0,27.2,30.9,25.5,25.2,61.6
Admiralty,2020,6,2020,2,3,0,27.4,31.6,24.6,22,49.7
Admiralty,2020,6,2020,2,4,0,27.1,31.4,24.4,20.2,49.7
Admiralty,2020,6,2020,2,5,0,27.4,32.1,24.7,20.5,46.4
Admiralty,2020,6,2020,2,6,0,27.8,31.5,25.4,23,48.6
Admiralty,2020,6,2020,2,7,0,27.5,31.1,25.1,23.4,50
Admiralty,2020,6,2020,2,8,0,27.3,30.9,24.3,19.1,42.5
Admiralty,2020,7,2020,2,9,32.4,25.9,29.4,23.1,14.4,46.8
Admiralty,2020,7,2020,2,10,6.8,26.6,32.9,23.3,13,37.8
Admiralty,2020,7,2020,2,11,18.4,26.5,28.9,25,16.2,39.2
Admiralty,2020,7,2020,2,12,3.2,27.5,31.7,25,17.3,40.7
Admiralty,2020,7,2020,2,13,0,28,32.3,25.6,20.5,42.1
